"Summertime","Vybz Kartel"
"Settle Down (Destiny)","Mavado"
"Tun up Di Ting","Khago"
"Sometimes You Just Know","Daniel Beddingfield"
"Let's Go","Beenie Man"
"Caribbean Girl (Explicit)","Aidonia"
"On Fleek (Love You Everything)","Alkaline"
"Ocean Wave (Explicit)","Alkaline"
"Life (Explicit)","Mavado"
"Gal Policy (Explicit)","Kranium"
"Shepherd","Jahmiel"
"Promise (Explicit)","Popcaan"
"Good Comfort","DJ Frass, Shenseea"
"Beat Dem Bad (Explicit)","Squash, Vybz Kartel"
"Backaz (Explicit)","DeMarco"
"Sidepiece","Projexx"
"Touch Yuh Tonight (Explicit)","Aidonia"
"Fi Di Jockey (Explicit)","Aidonia"
"See It Yah","Dexta Daps, Alaine"
"Love You Enuh","Vybz Kartel"
"Only Man She Want","Popcaan"
"Baby","Aidonia"
"Call Me If (Explicit)","Dexta Daps"
"Wine to the Top","Vybz Kartel, Wiz Kid"
"Culu Culu","Savage"
"Bruki","Aidonia"
"Without Money","Vybz Kartel"
"Sexy19 (Explicit)","Dejour"
"Pon Di Thing","Seanizzle, Mavado"
"Me Nuh Fraid","Seanizzle, Charly Black"
"Night or Day","Seanizzle, G Whizz"
"Suga Plum Plum","Seanizzle, Beenie Man"
"Block & Delete (Explicit)","Alkaline"
"Come Home (Explicit)","Vybz Kartel"
"Sure Sure","Shenseea"
"Me Dont Love You Gyal","Alkaline"
"Give It All To Me (Explicit)","Mavado, Nicki Minaj"
"My Type (Explicit)","Popcaan"
"Unfaithful Games (Explicit)","Teejay"
"Victoria Secret (Explicit)","Popcaan, Dunw3ll"
"Risky","Davido, Popcaan"
"Open Up","Vybz Kartel"
"Custody (Explicit)","Daine Blaze"
"Don Walk (Explicit)","Rymez, Stefflon Don"
"Dye Dye","Macka Diamond"
"So Easy (Explicit)","Vybz Kartel"
"Continue Wine (Explicit)","DeMarco"
"Gyal Wine","Mavado"
"When You Feel Lonely","Mavado"
"Yuh Love","Vybz Kartel"
"Best Fuck (Explicit)","Mavado, Black Shadow"
"You Just Want (Explicit)","Teejay"
"Apartment (Explicit)","DeMarco"
"WiFi (Explicit)","Dexta Daps, Drumma Boy"
"Ig Girls (Explicit)","Aidonia"
"Watch over Us (Explicit)","Vybz Kartel"
"Move Mountains (Explicit)","Alkaline"
"Can't Do With One Girl (Explicit)","I-Octane"
"Fall In Love (Explicit)","Popcaan"
"Shegg Up","Alkaline"
"Nobody Has to Know (Explicit)","Kranium"
"Twinkle (Explicit)","Dexta Daps"
"Wine Pon Me (Explicit)","I-Octane"
"Miami Vice Episode (Explicit)","Vybz Kartel"
"123 (Explicit)","Alkaline"
"Come Into My Room (Explicit)","Mavado, Stacious"
"Best/Blessed (Explicit)","Popcaan"
"Forever (Explicit)","Dexta Daps"
"Dedication","Vybz Kartel"
